Field,Description
SubjectNumber,Number identifying individual subject wearing device
ActivityCode,Code value describing type of activity performed during measurements
ActivityType,Description of activity performed during measurements
tBodyAcc-mean()-X,"Mean Body Linear Acceleration, X-Axis"
tBodyAcc-mean()-Y,"Mean Body Linear Acceleration, Y-Axis"
tBodyAcc-mean()-Z,"Mean Body LinearAcceleration, Z-Axis"
tGravityAcc-mean()-X,"Mean Gravity Linear Acceleration, X-Axis"
tGravityAcc-mean()-Y,"Mean Gravity Linear Acceleration, Y-Axis"
tGravityAcc-mean()-Z,"Mean Gravity Acceleration, Z-Axis"
tBodyAccJerk-mean()-X,"Mean Body Linear Acceleration Jerking, X-Axis"
tBodyAccJerk-mean()-Y,"Mean Body Linear Acceleration Jerking, Y-Axis"
tBodyAccJerk-mean()-Z,"Mean Body Linear Acceleration Jerking, Z-Axis"
tBodyGyro-mean()-X,"Mean Body Angular Velocity, X-Axis"
tBodyGyro-mean()-Y,"Mean Body Angular Velocity, Y-Axis"
tBodyGyro-mean()-Z,"Mean Body Angular Velocity, Z-Axis"
tBodyGyroJerk-mean()-X,"Mean Body Angular Velocity Jerking, X-Axis"
tBodyGyroJerk-mean()-Y,"Mean Body Angular Velocity Jerking, Y-Axis"
tBodyGyroJerk-mean()-Z,"Mean Body Angular Velocity Jerking, Z-Axis"
tBodyAccMag-mean(),Mean Body Linear Accerleration Magnitude
tGravityAccMag-mean(),Mean Gravity  Linear Accerleration Magnitude
tBodyAccJerkMag-mean(),Mean Body Linear Accerleration Jerking Magnitude
tBodyGyroMag-mean(),Mean Angular Velocity Magnitude
tBodyGyroJerkMag-mean(),Mean Angular Velocity Jerking Magnitude
fBodyAcc-mean()-X,"Fast Fourier Transform (FFT) Mean Body Linear Acceleration, X-Axis"
fBodyAcc-mean()-Y,"Fast Fourier Transform (FFT) Mean Body Linear Acceleration, Y-Axis"
fBodyAcc-mean()-Z,"Fast Fourier Transform (FFT) Mean Body Linear Acceleration, Z-Axis"
fBodyAcc-meanFreq()-X,"Fast Fourier Transform (FFT) Mean Frequency Body Linear Acceleration, X-Axis"
fBodyAcc-meanFreq()-Y,"Fast Fourier Transform (FFT) Mean Frequency Body Linear Acceleration, Y-Axis"
fBodyAcc-meanFreq()-Z,"Fast Fourier Transform (FFT) Mean Frequency Body Linear Acceleration, Z-Axis"
fBodyAccJerk-mean()-X,"Fast Fourier Transform (FFT) Mean Body Linear Acceleration Jerking, X-Axis"
fBodyAccJerk-mean()-Y,"Fast Fourier Transform (FFT) Mean Body Linear Acceleration Jerking, Y-Axis"
fBodyAccJerk-mean()-Z,"Fast Fourier Transform (FFT) Mean Body Linear Acceleration Jerking, Z-Axis"
fBodyAccJerk-meanFreq()-X,"Fast Fourier Transform (FFT) Mean Frequency Body Linear Acceleration Jerking, X-Axis"
fBodyAccJerk-meanFreq()-Y,"Fast Fourier Transform (FFT) Mean Frequency Body Linear Acceleration Jerking, Y-Axis"
fBodyAccJerk-meanFreq()-Z,"Fast Fourier Transform (FFT) Mean Frequency Body Linear Acceleration Jerking, Z-Axis"
